altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
P008,0,1.30377,0.0472558,1779,2,asage,327.0081153
P008,0,0.105573,1.44721,2102,18,asage,1065.386627
P008,0,1.36212,1.93213,2352,20,asage,1181.248914
P008,0,2,1,2292,19,asage,3498.50947
P008,0,1.50358,0.136054,1948,15,asage,2267.700257
P008,0,1.90756,1.41992,2241,24,asage,1657.052599
P008,0,0.0598859,1.34086,1903,9,asage,4042.739265
P008,0,0.0263118,0.772116,2183,16,asage,4890.502489
P008,0,1.90343,1.42874,2154,8,asage,4883.209454
P008,0,1.96375,1.2668,1954,16,asage,3378.594643
P008,0,1.24575,0.0306659,2139,12,asage,1284.839964
P008,0,0.958561,1.99914,1963,11,asage,7011.058872
P008,0,2,1,1852,6,asage,3975.11527
P008,0,1.97144,1.2373,2030,19,asage,6706.617666
P008,0,1.56468,1.82531,2391,18,asage,2274.179777
P008,0,1.49026,0.128424,2696,20,asage,2527.86042
P008,0,0.599181,0.0838426,2221,20,asage,1490.572462
P008,0,0.352352,1.76194,1855,13,asage,1570.537131
P008,0,0.948785,0.00131232,2379,18,asage,2426.687272
P008,0,0.501529,0.133094,1868,10,asage,4008.788722
P008,0,1.97271,0.767977,2216,9,asage,1686.420255
P008,0,0.552786,1.89443,2224,20,asage,3007.369614
P008,0,1.15294,1.98824,1868,6,asage,2365.204895
P008,0,0.0395337,1.2784,2371,18,asage,2046.506653
P008,0,0.0208662,0.796784,1818,5,asage,854.5366945
P008,0,1,0,2200,17,asage,615.7694202
P008,0,0.464948,1.84482,1813,22,asage,4288.958208
P008,0,1.55947,1.82885,1965,18,asage,4030.472338
P008,0,1.48001,0.122738,1767,4,asage,631.8485307
P008,0,1.29271,0.0438,1835,10,asage,2827.596887
P008,0,0.14118,1.51228,2337,16,asage,1958.994306
P008,0,1.6446,0.235478,1770,6,asage,2472.273343
P008,0,1.72715,1.68647,1871,13,asage,2822.013398
P008,0,0.0105688,1.145,1852,6,asage,1782.375972
P008,0,1.64642,1.76298,2077,9,asage,679.7709166
P008,0,0.224438,0.368729,2563,20,asage,333.7412765
P008,0,1.9554,0.704694,2165,12,asage,1024.28588
P008,0,1.69466,1.71934,1748,1,asage,11044.37798
P008,0,1.97702,0.786833,2238,10,asage,470.1696637
P008,0,1.59853,1.8011,1954,25,asage,7319.887223
P008,0,0.0838426,1.40082,1807,5,asage,3049.958551
P008,0,1.68826,0.274536,1802,3,asage,3242.988525
P008,0,2,0.999029,2126,23,asage,548.6605012
P008,0,1.99099,1.13392,1769,5,asage,2243.855166
P009,0,1.06351,1.99798,1883,6,asage,2363.189182
P009,0,1.98287,0.815711,2215,24,asage,4904.97343
P009,0,1.09757,0.00477147,1930,18,asage,2386.038369
P009,0,0.259281,0.328185,2301,22,asage,3977.513011
P009,0,1.77662,0.370032,2202,18,asage,511.3753437
P009,0,0.476447,0.148007,2116,9,asage,860.4788237
P009,0,1.86418,1.50319,2307,13,asage,4525.666151
P009,0,1.22773,0.0262747,2075,26,asage,2977.100762
P009,0,1.71623,1.69786,2365,26,asage,1345.019791
P009,0,0.212495,0.383692,1801,4,asage,2700.06259
P009,0,1.18021,1.98363,1845,9,asage,2947.326013
P009,0,0.500701,0.13357,2108,6,asage,3165.094371
P009,0,1.44721,1.89443,2340,22,asage,1219.983124
P009,0,1.307,0.0482914,2107,18,asage,1742.138538
P009,0,0.00503397,1.10021,2007,13,asage,2247.168087
P009,0,1.9888,1.14925,2326,20,asage,1931.286989
P009,0,1.62139,0.216502,2008,14,asage,2700.132102
P009,0,0.662135,0.0588053,1800,11,asage,6386.304708
P009,0,1.99095,1.13425,2156,10,asage,5011.369714
P009,0,0.267887,0.318817,1893,20,asage,6883.81147
P009,0,1.99929,0.962291,1916,15,asage,4144.497388
P009,0,0.4453,0.16795,2153,21,asage,1050.848231
P009,0,1.94174,0.663664,1806,4,asage,4289.313187
P009,0,0.0452419,1.29738,1853,7,asage,2554.79485
P009,0,1.91381,0.593862,2480,15,asage,1774.485765
P009,0,0.000236213,1.02173,2165,10,asage,4498.472263
P009,0,0.633132,0.0697271,1922,19,asage,3688.9106
P009,0,0.0202851,0.799604,2104,31,asage,773.649396
P009,0,0.875965,1.99228,1764,7,asage,581.4751611
P009,0,0.243873,0.345575,1977,18,asage,6039.653968
P009,0,1.69466,1.71934,1712,2,asage,360.3220692
P009,0,0.0598639,0.659201,1867,7,asage,3876.638744
P009,0,0.885376,0.00659108,2181,14,asage,3140.753295
P009,0,1.96855,1.2488,1819,9,asage,9312.004591
P009,0,1.11043,1.99388,1818,5,asage,1528.727271
P009,0,1.65999,1.75127,2157,14,asage,624.3170134
P009,0,1.17503,0.0154375,2311,17,asage,1460.049545
P009,0,0.0113811,0.849558,1907,16,asage,1791.889967
P009,0,1.8,0.4,2300,17,asage,3129.374177
P009,0,1.79463,1.6071,1926,16,asage,2527.305871
P009,0,0.0655123,0.644005,1974,18,asage,2798.754139
P009,0,1.22026,0.024559,2470,25,asage,820.9235411
P009,0,0.440527,0.171151,1836,11,asage,3159.817717
P009,0,1.84118,1.54076,1822,13,asage,3505.010125
P009,0,0.705914,0.0442209,1781,3,asage,4957.707069
P009,0,1.86853,1.49563,1840,7,asage,4888.540267
P009,0,0.254985,0.332952,1816,4,asage,4235.589697
P009,0,1.58124,0.186267,1822,6,asage,2440.034982
P009,0,0.104757,0.554422,2323,12,asage,2164.534862
P009,0,1.29342,1.95598,1794,4,asage,4652.864819
P009,0,1.6556,1.75511,2060,6,asage,2125.65893
P009,0,1.40082,0.0838427,1775,5,asage,1542.633795
P009,0,1.78935,0.386059,2532,18,asage,1680.213642
P009,0,1.99369,1.11219,2128,12,asage,3515.117009
