altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
P056,0,0.15048,0.472444,1949,2,asage,567.2299975
P056,0,1.75408,0.343219,1898,4,asage,924.7918733
P042,0,1.69466,1.71934,1904,1,asage,221.4936024
P042,0,0.152079,1.53012,1950,2,asage,260.0061043
P042,0,1.75039,0.338999,1912,3,asage,259.7630429
P042,0,1.05289,1.9986,1957,10,asage,533.8373232
P042,0,0.847943,0.0116283,1923,4,asage,118.8871954
P042,0,0.326542,0.260774,1976,2,asage,1370.889885
P042,0,1.57921,0.18482,1855,21,asage,228.3614048
P042,0,1.97269,0.767881,2070,18,asage,548.9313112
P042,0,0.81478,0.017303,1807,6,asage,450.2110123
P042,0,0.147399,0.477438,1923,5,asage,30.22734284
P042,0,1.69466,1.71934,1938,2,asage,65.83859466
P042,0,1.97014,1.24254,2098,7,asage,241.6213377
P042,0,1.72071,0.306766,2021,9,asage,1142.343967
P042,0,0.0362794,1.26691,1947,10,asage,409.7374242
P042,0,1.99996,0.990741,2036,15,asage,475.3989731
P042,0,1.94535,0.673946,1984,6,asage,1425.636337
P042,0,0.985252,0.000108778,1942,7,asage,866.3395427
P042,0,1.44776,1.89415,2036,2,asage,486.873856
P042,0,1.89356,1.44893,2120,10,asage,204.8864957
P042,0,1.0949,1.99549,1884,3,asage,1319.54521
P042,0,0.625359,0.0728302,1902,6,asage,1577.372666
P042,0,1.82611,1.56351,1916,6,asage,1579.554833
P042,0,1.69466,1.71934,1844,0,asage,1616.197539
P042,0,0.902112,1.9952,1943,12,asage,562.26638
P042,0,1.90814,0.581341,1888,3,asage,216.1799429
P042,0,0.077559,1.38614,1867,3,asage,654.5160852
P042,0,0.4453,0.16795,1950,3,asage,1727.707383
P042,0,0.275442,1.68921,1946,3,asage,464.6844521
P042,0,1.65079,0.240743,2077,10,asage,1665.148985
P042,0,0.0421737,1.28735,1799,3,asage,188.0780322
P042,0,0.342631,0.246431,1937,15,asage,387.0144407
P042,0,1.97439,1.22486,1998,13,asage,397.3870466
P042,0,0.00572854,0.893116,1903,6,asage,596.1351448
P042,0,1.43974,0.101873,1833,14,asage,259.6043634
P042,0,0.888754,0.00620705,1930,4,asage,896.2428032
P042,0,1.32179,0.0531895,1935,2,asage,463.1024473
P042,0,1.8759,0.517511,2002,2,asage,788.3059201
P042,0,0.641021,1.93335,2006,9,asage,152.8920958
P042,0,1.77682,1.62973,1869,2,asage,902.9637871
P042,0,1.8086,1.58835,2203,14,asage,1018.289163
P042,0,1.77156,0.363848,2421,9,asage,673.7384066
P042,0,0.373367,1.77931,1942,13,asage,180.9030791
P042,0,1.99315,0.883159,1936,5,asage,423.487014
P042,0,0.352022,0.238341,1911,5,asage,238.1382917
P042,0,0.625537,1.92724,1937,7,asage,134.3786736
P042,0,1.44215,1.89694,1989,8,asage,1004.896598
P042,0,1.19612,1.98058,1950,9,asage,504.8199654
P032,0,1.97544,0.779739,2087,5,asage,643.5883385
P032,0,1.75774,1.65256,1939,3,asage,510.7696679
P032,0,1.99362,0.887211,2128,19,asage,528.1433514
P032,0,1.42227,0.0935295,1972,7,asage,788.3638611
P032,0,1.19087,1.98162,2095,7,asage,602.8792066
P032,0,1.68994,0.276131,1874,7,asage,489.5523587
P032,0,1.69466,1.71934,1870,0,asage,59.39923883
P032,0,0.0298575,0.757464,1933,7,asage,481.8288152
P032,0,1.99967,1.0258,2025,2,asage,603.9132526
P032,0,1.0163,1.99987,1925,2,asage,607.6738956
P032,0,1.928,0.62742,1882,25,asage,120.6538949
P032,0,1.3598,0.0669691,1901,6,asage,685.9248628
P032,0,1.04282,0.000917077,1910,13,asage,1310.988437
P032,0,0.892518,1.99421,1954,6,asage,1760.605901
